Tempo,Nome,Valor
20250801_181428,tcell_0,0.0
20250801_181428,tcell_1,3.0
20250801_181428,tcell_2,1.0
20250801_181428,tcell_3,2.0
20250801_181428,tcell_4,0.0
20250801_181429,tcell_0,0.0
20250801_181429,tcell_1,3.0
20250801_181429,tcell_2,1.0
20250801_181429,tcell_3,2.0
20250801_181429,tcell_4,0.0
20250801_181458,tcell_0,0.0
20250801_181458,tcell_1,3.0
20250801_181458,tcell_2,1.0
20250801_181458,tcell_3,2.0
20250801_181458,tcell_4,0.0
20250801_181503,tcell_0,0.0
20250801_181503,tcell_1,3.0
20250801_181503,tcell_2,1.0
20250801_181503,tcell_3,2.0
20250801_181503,tcell_4,0.0
20250801_181504,tcell_0,0.0
20250801_181504,tcell_1,3.0
20250801_181504,tcell_2,1.0
20250801_181504,tcell_3,2.0
20250801_181504,tcell_4,0.0
